,network,N,L,<k>,DMP_betac,MC_betac,LS,alphac_p,alphac_r
9,Assort_p1.0_soc-advogato.edgelist,5054,39374,15.58132173,0.010900712,0.010900712,0.161053035,0.423569482,0.36
12,Assort_p0.9_soc-advogato.edgelist,5054,39374,15.58132173,0.011271068,0.011271068,0.154247352,0.405670536,0.34
16,Assort_p0.8_soc-advogato.edgelist,5054,39374,15.58132173,0.011620451,0.011620451,0.148233701,0.389854634,0.33
0,Assort_p0.7_soc-advogato.edgelist,5054,39374,15.58132173,0.012012264,0.012012264,0.141979282,0.373405512,0.32
7,Assort_p0.6_soc-advogato.edgelist,5054,39374,15.58132173,0.012254003,0.012254003,0.138331361,0.363811479,0.31
1,Assort_p0.5_soc-advogato.edgelist,5054,39374,15.58132173,0.012688385,0.012688385,0.132316525,0.347992461,0.31
10,Assort_p0.4_soc-advogato.edgelist,5054,39374,15.58132173,0.013066356,0.013066356,0.127440668,0.335168957,0.3
14,Assort_p0.3_soc-advogato.edgelist,5054,39374,15.58132173,0.013581018,0.013581018,0.121436402,0.319377737,0.29
11,Assort_p0.2_soc-advogato.edgelist,5054,39374,15.58132173,0.014048567,0.014048567,0.116265233,0.305777563,0.28
17,Assort_p0.1_soc-advogato.edgelist,5054,39374,15.58132173,0.014337158,0.014337158,0.113205995,0.297731767,0.28
19,Dissort_p0.1_soc-advogato.edgelist,5054,39374,15.58132173,0.015374274,0.015374274,0.103987128,0.273486147,0.25
3,Dissort_p0.2_soc-advogato.edgelist,5054,39374,15.58132173,0.015720956,0.015720956,0.10132475,0.266484093,0.24
5,Dissort_p0.3_soc-advogato.edgelist,5054,39374,15.58132173,0.016129548,0.016129548,0.098169099,0.25818473,0.24
13,Dissort_p0.4_soc-advogato.edgelist,5054,39374,15.58132173,0.01672633,0.01672633,0.094034088,0.247309651,0.23
4,Dissort_p0.5_soc-advogato.edgelist,5054,39374,15.58132173,0.017282369,0.017282369,0.090443189,0.237865587,0.22
15,Dissort_p0.6_soc-advogato.edgelist,5054,39374,15.58132173,0.017780697,0.017780697,0.08742764,0.229934693,0.21
2,Dissort_p0.7_soc-advogato.edgelist,5054,39374,15.58132173,0.018326038,0.018326038,0.084317368,0.221754678,0.2
18,Dissort_p0.8_soc-advogato.edgelist,5054,39374,15.58132173,0.019157581,0.019157581,0.080340098,0.211294458,0.2
6,Dissort_p0.9_soc-advogato.edgelist,5054,39374,15.58132173,0.019586614,0.019586614,0.078202312,0.205672081,0.19
8,Dissort_p1.0_soc-advogato.edgelist,5054,39374,15.58132173,0.020405333,0.020405333,0.074910397,0.197014344,0.18
